time,open,high,low,close
2026-06-16 05:00:00,65840.1,66150.22,65840.09,66045
2026-06-16 06:00:00,66044.99,66572.99,66044.99,66446
2026-06-16 07:00:00,66446.01,66527.23,66300.1,66372
2026-06-16 08:00:00,66372,66992,66345.06,66899.61
2026-06-16 09:00:00,66899.61,66923.99,66474.74,66510
2026-06-16 10:00:00,66510.01,66778,66486.38,66514
2026-06-16 11:00:00,66514.01,66643.23,66368.36,66481.73
2026-06-16 12:00:00,66481.73,66818,66368,66429.83
2026-06-16 13:00:00,66429.84,66463.13,65928.16,66052
2026-06-16 14:00:00,66052.01,66265.8,65360.92,65654.9
2026-06-16 15:00:00,65654.9,65999.78,65614.3,65859.76
2026-06-16 16:00:00,65859.76,65953.97,65706,65758.07
2026-06-16 17:00:00,65758.07,66011.47,65710.34,65978.79
2026-06-16 18:00:00,65978.78,66248.69,65802,65847.99
2026-06-16 19:00:00,65848,65848,65560,65675.88
2026-06-16 20:00:00,65675.89,65865.92,65592,65854
2026-06-16 21:00:00,65854,65938,65654.9,65776.97
2026-06-16 22:00:00,65776.97,65882,65680,65780
2026-06-16 23:00:00,65780.01,65834.19,65626.9,65675.01
2026-06-17 00:00:00,65675.02,65848,65675.02,65700
2026-06-17 01:00:00,65700,65956.56,65477.5,65940
2026-06-17 02:00:00,65940,66200,65788,65904
2026-06-17 03:00:00,65903.99,65904,65703.45,65851.99
2026-06-17 04:00:00,65852,66048.19,65788.31,65892
2026-06-17 05:00:00,65892.01,65978,65746.51,65836.3
2026-06-17 06:00:00,65836.3,65896.45,65582.63,65624
2026-06-17 07:00:00,65624.01,65710,65251,65539.5
2026-06-17 08:00:00,65539.51,65574,64833.07,64926.02
2026-06-17 09:00:00,64926.02,65076.76,64842.01,64909.44
2026-06-17 10:00:00,64909.44,64993.97,64768,64798
2026-06-17 11:00:00,64798,64868.21,64565,64810.01
2026-06-17 12:00:00,64810.01,65108,64590.53,65040.88
2026-06-17 13:00:00,65040.88,65369.53,64850,65278
2026-06-17 14:00:00,65278,65461.38,64772.72,65101.45
2026-06-17 15:00:00,65101.45,65855.66,64987.74,65752
2026-06-17 16:00:00,65751.99,66445.93,65722,65864.12
2026-06-17 17:00:00,65864.13,66191.98,65800,66104.08
2026-06-17 18:00:00,66107.99,66107.99,64800,65516
2026-06-17 19:00:00,65516,65666,63998.35,64301.85
2026-06-17 20:00:00,64301.85,64488.96,64181.33,64434.36
2026-06-17 21:00:00,64434.36,64452,64142,64257.77
2026-06-17 22:00:00,64257.77,64434.84,63915.77,64300.01
2026-06-17 23:00:00,64300.01,64529.2,64248,64509.4
2026-06-18 00:00:00,64509.4,64702,64457.67,64468.01
2026-06-18 01:00:00,64468.01,64806,64466.3,64548.74
2026-06-18 02:00:00,64548.75,64776.66,64488,64689.5
2026-06-18 03:00:00,64689.5,64689.5,64267.86,64282.82
2026-06-18 04:00:00,64282.82,64347.09,63826.93,63883.41
2026-06-18 05:00:00,63883.26,64020,63696.29,63994
2026-06-18 06:00:00,63994,64134.33,63850,64083.41
2026-06-18 07:00:00,64084,64510.5,64015.42,64510.44
2026-06-18 08:00:00,64510.45,64646.75,64378.25,64399.92
2026-06-18 09:00:00,64399.93,64478,64196.14,64199.53
2026-06-18 10:00:00,64199.53,64223.79,63910,64078.61
2026-06-18 11:00:00,64078.61,64196,63878.14,63974.4
2026-06-18 12:00:00,63974.4,64402.01,63922,64378.07
2026-06-18 13:00:00,64378.06,64445.19,63800,63984
2026-06-18 14:00:00,63983.99,64203.66,63587.3,63816.61
2026-06-18 15:00:00,63816.61,63825.99,62293.76,62369.44
2026-06-18 16:00:00,62369.43,62814,62349.42,62688
2026-06-18 17:00:00,62688,62750,62272.07,62606
2026-06-18 18:00:00,62606,62959.75,62580.01,62708.92
2026-06-18 19:00:00,62708.93,63008.33,62636,62950.79
2026-06-18 20:00:00,62950.79,63274.19,62950.79,63086
2026-06-18 21:00:00,63086,63121.81,62870.39,62971.32
2026-06-18 22:00:00,62971.32,62990,62742,62885.85
2026-06-18 23:00:00,62885.84,62985.12,62756.6,62958.01
2026-06-19 00:00:00,62958.01,63086,62840,63020
2026-06-19 01:00:00,63020,63100,62852.01,63021.86
2026-06-19 02:00:00,63021.86,63110.29,62893.71,63006
2026-06-19 03:00:00,63006.01,63029.64,62386.9,62773.51
2026-06-19 04:00:00,62773.52,62916.66,62409.55,62452.01
2026-06-19 05:00:00,62452.01,62744.92,62452,62739.2
2026-06-19 06:00:00,62739.2,62914.73,62728,62894.08
2026-06-19 07:00:00,62894.09,62917.32,62504.27,62629.99
2026-06-19 08:00:00,62630,62782,62533.33,62603.99
2026-06-19 09:00:00,62604,62654,62316.44,62390
2026-06-19 10:00:00,62390.01,62587.27,62383.76,62533.25
2026-06-19 11:00:00,62533.24,62684,62452.52,62626
2026-06-19 12:00:00,62626,62872.99,62353,62830.01
2026-06-19 13:00:00,62830.01,63415,62666,63210
2026-06-19 14:00:00,63210,63419.27,63010,63203.53
2026-06-19 15:00:00,63203.54,63283.86,63019.26,63214.01
2026-06-19 16:00:00,63214.01,63387.8,62918.98,62971.99
2026-06-19 17:00:00,62972,63263.49,62866.99,63198.01
2026-06-19 18:00:00,63198,63201.95,62991.37,63110.01
2026-06-19 19:00:00,63110.01,63140,62942,63021.6
2026-06-19 20:00:00,63021.6,63274,62958.59,63250.01
2026-06-19 21:00:00,63250.01,63275.64,63060,63075.98
