time,open,high,low,close
2026-07-20 00:00:00,4010.53648,4010.6558,4010.50836,4010.62106
2026-07-20 00:05:00,4010.53648,4010.71497,4010.4773,4010.63117
2026-07-20 00:10:00,4010.53648,4010.68122,4010.51324,4010.51324
2026-07-20 00:15:00,4010.53648,4010.71519,4010.47747,4010.59559
2026-07-20 00:20:00,4010.53648,4010.6547,4010.51592,4010.6186
2026-07-20 00:25:00,4010.53648,4010.71643,4010.47912,4010.53523
2026-07-20 00:30:00,4010.53648,4010.67334,4010.51591,4010.51591
2026-07-20 00:35:00,4010.53648,4010.71291,4010.47647,4010.60013
2026-07-20 00:40:00,4010.53648,4010.66378,4010.52411,4010.61573
2026-07-20 00:45:00,4010.53648,4010.71696,4010.48185,4010.53082
2026-07-20 00:50:00,4010.53648,4010.66485,4010.51897,4010.51897
2026-07-20 00:55:00,4010.53648,4010.71257,4010.47641,4010.6044
2026-07-20 01:00:00,4010.53648,4010.67233,4010.53287,4010.61248
2026-07-20 01:05:00,4010.53648,4010.71654,4010.4794,4010.52669
2026-07-20 01:10:00,4010.53648,4010.65584,4010.51689,4010.52241
2026-07-20 01:15:00,4010.53648,4010.71496,4010.4773,4010.60838
2026-07-20 01:20:00,4010.53648,4010.68029,4010.53648,4010.60887
2026-07-20 01:25:00,4010.53648,4010.7152,4010.47747,4010.52287
2026-07-20 01:30:00,4010.53648,4010.65466,4010.50925,4010.52619
2026-07-20 01:35:00,4010.53648,4010.71642,4010.47911,4010.61204
2026-07-20 01:40:00,4010.53648,4010.6876,4010.53402,4010.60493
2026-07-20 01:45:00,4010.53648,4010.71292,4010.47647,4010.51939
2026-07-20 01:50:00,4010.53648,4010.66374,4010.50229,4010.53028
2026-07-20 01:55:00,4010.53648,4010.71696,4010.48184,4010.61534
2026-07-20 02:00:00,4010.53648,4010.69419,4010.52519,4010.60068
2026-07-20 02:05:00,4010.53648,4010.71256,4010.47641,4010.51628
2026-07-20 02:10:00,4010.53648,4010.67229,4010.49607,4010.53466
2026-07-20 02:15:00,4010.53648,4010.71655,4010.47941,4010.61826
2026-07-20 02:20:00,4010.53648,4010.70003,4010.51693,4010.59618
2026-07-20 02:25:00,4010.53648,4010.71495,4010.47729,4010.51356
2026-07-20 02:30:00,4010.53648,4010.68026,4010.49063,4010.58909
2026-07-20 02:35:00,4010.53648,4010.7152,4010.47748,4010.62077
2026-07-20 02:40:00,4010.53648,4010.70506,4010.50928,4010.59144
2026-07-20 02:45:00,4010.53648,4010.71642,4010.4791,4010.51125
2026-07-20 02:50:00,4010.53648,4010.68757,4010.48602,4010.58392
2026-07-20 02:55:00,4010.53648,4010.71293,4010.47648,4010.62286
2026-07-20 03:00:00,4010.53648,4010.70924,4010.50232,4010.59088
2026-07-20 03:05:00,4010.53648,4010.71696,4010.48183,4010.50938
2026-07-20 03:10:00,4010.53648,4010.69417,4010.48228,4010.57877
2026-07-20 03:15:00,4010.53648,4010.70975,4010.47641,4010.62451
2026-07-20 03:20:00,4010.53648,4010.71254,4010.49609,4010.59601
2026-07-20 03:25:00,4010.53648,4010.71655,4010.48545,4010.50795
2026-07-20 03:30:00,4010.53648,4010.70001,4010.47942,4010.57367
2026-07-20 03:35:00,4010.53648,4010.70569,4010.47728,4010.62571
2026-07-20 03:40:00,4010.53648,4010.71494,4010.49065,4010.60107
2026-07-20 03:45:00,4010.53648,4010.71521,4010.48994,4010.50698
2026-07-20 03:50:00,4010.53648,4010.70504,4010.47749,4010.56867
2026-07-20 03:55:00,4010.53648,4010.70078,4010.47909,4010.62645
2026-07-20 04:00:00,4010.53648,4010.71642,4010.48765,4010.61968
2026-07-20 04:05:00,4010.55096,4010.73116,4010.51183,4010.52424
2026-07-20 04:10:00,4010.55417,4010.72615,4010.4943,4010.58304
2026-07-20 04:15:00,4010.54613,4010.71191,4010.49412,4010.64279
2026-07-20 04:20:00,4010.55321,4010.73302,4010.49577,4010.62512
2026-07-20 04:25:00,4010.54935,4010.72167,4010.51653,4010.52251
2026-07-20 04:30:00,4010.5516,4010.72326,4010.49245,4010.58533
2026-07-20 04:35:00,4010.5477,4010.70551,4010.49597,4010.64265
2026-07-20 04:40:00,4010.55353,4010.73274,4010.49114,4010.62929
2026-07-20 04:45:00,4010.54783,4010.71777,4010.52288,4010.52288
2026-07-20 04:50:00,4010.55161,4010.72437,4010.48677,4010.58556
2026-07-20 04:55:00,4010.54274,4010.6949,4010.50047,4010.63883
2026-07-20 05:00:00,4010.54967,4010.73152,4010.48582,4010.63017
2026-07-20 05:05:00,4010.54314,4010.70138,4010.51743,4010.51743
2026-07-20 05:10:00,4010.54425,4010.72275,4010.48712,4010.58792
2026-07-20 05:15:00,4010.54424,4010.68884,4010.50397,4010.63934
