time,open,high,low,close
2026-05-05 23:00:00,4564.88078,4583.82063,4563.2,4579.20076
2026-05-06 00:00:00,4578.71724,4587.17375,4569.74867,4580.63947
2026-05-06 01:00:00,4580.29328,4584.42992,4569.14413,4570.09942
2026-05-06 02:00:00,4569.40731,4570.38391,4554.56367,4562.17819
2026-05-06 03:00:00,4562.11751,4562.42026,4553.68656,4559.962
2026-05-06 04:00:00,4559.65935,4566.03133,4558.03033,4560.66694
2026-05-06 05:00:00,4560.50163,4560.7954,4551.91941,4554.42376
2026-05-06 06:00:00,4553.72777,4560.26352,4552.69747,4556.92512
2026-05-06 07:00:00,4556.73388,4557.74786,4556.4314,4557.29574
2026-05-06 08:00:00,4557.23084,4575.78654,4542.23432,4571.10808
2026-05-06 09:00:00,4568.57386,4595.50573,4568.48659,4593.97573
2026-05-06 10:00:00,4594.07205,4618.21951,4588.61576,4618.02024
2026-05-06 11:00:00,4617.99826,4627.70142,4609.58169,4625.62066
2026-05-06 12:00:00,4626.07296,4641.06778,4625.56085,4639.61682
2026-05-06 13:00:00,4640.17199,4650.08138,4639.24443,4643.60342
2026-05-06 14:00:00,4643.63505,4652.46115,4643.59072,4650.27922
2026-05-06 15:00:00,4650.23928,4662.86673,4643.91588,4662.21851
2026-05-06 16:00:00,4661.14502,4667.56573,4656.0641,4667.00811
2026-05-06 17:00:00,4665.55486,4678.83234,4658.09577,4678.13838
2026-05-06 18:00:00,4676.87602,4699.9472,4673.47626,4694.45685
2026-05-06 19:00:00,4694.84582,4705.2843,4687.19135,4701.47018
2026-05-06 20:00:00,4701.5502,4721.34846,4696.69407,4719.68323
2026-05-06 21:00:00,4719.4671,4722.77486,4692.24448,4695.49318
2026-05-06 22:00:00,4693.37736,4693.51356,4664.1791,4680.86608
2026-05-06 23:00:00,4677.86323,4705.43949,4669.24123,4704.08268
2026-05-07 00:00:00,4704.50448,4716.39425,4698.38977,4703.25284
2026-05-07 01:00:00,4703.28578,4705.88811,4689.04774,4690.09084
2026-05-07 02:00:00,4691.22749,4692.85279,4682.11892,4682.28339
2026-05-07 03:00:00,4682.06467,4687.57715,4678.73774,4683.41089
2026-05-07 04:00:00,4683.74416,4689.99156,4682.52482,4686.08235
2026-05-07 05:00:00,4686.54008,4699.35936,4686.15794,4695.19384
2026-05-07 06:00:00,4696.25027,4699.37453,4686.02718,4690.91268
2026-05-07 07:00:00,4690.82727,4691.31169,4689.96529,4690.32291
2026-05-07 08:00:00,4690.21813,4699.99614,4685.08702,4695.89043
2026-05-07 09:00:00,4695.72319,4699.28707,4690.41982,4698.50838
2026-05-07 10:00:00,4698.24922,4700.62116,4686.47483,4688.12971
2026-05-07 11:00:00,4687.84949,4720.5712,4686.25521,4714.90227
2026-05-07 12:00:00,4715.12268,4718.12519,4700.95816,4709.6844
2026-05-07 13:00:00,4709.58543,4709.65007,4700.24492,4700.41166
2026-05-07 14:00:00,4700.67147,4701.45745,4692.66243,4696.84918
2026-05-07 15:00:00,4696.8162,4706.11101,4695.01925,4701.86222
2026-05-07 16:00:00,4702.05845,4749.19581,4701.89957,4738.8545
2026-05-07 17:00:00,4738.54289,4750.02632,4733.2427,4743.6699
2026-05-07 18:00:00,4743.57354,4752.50303,4732.01933,4732.51134
2026-05-07 19:00:00,4732.54225,4738.93945,4723.34168,4726.94301
2026-05-07 20:00:00,4727.62592,4740.02165,4726.77973,4736.78053
2026-05-07 21:00:00,4736.99953,4742.80725,4727.73986,4742.80725
2026-05-07 22:00:00,4742.77748,4751.89371,4733.63444,4747.72968
2026-05-07 23:00:00,4746.67732,4756.02654,4729.18826,4747.39981
2026-05-08 00:00:00,4747.02498,4762.88795,4743.88492,4762.83661
2026-05-08 01:00:00,4762.66804,4765.85857,4728.66968,4728.7107
2026-05-08 02:00:00,4728.76171,4731.2252,4705.88235,4713.59025
2026-05-08 03:00:00,4713.28039,4729.41171,4691.52444,4706.11138
2026-05-08 04:00:00,4708.81559,4715.20181,4696.80035,4709.9256
2026-05-08 05:00:00,4709.45285,4711.45268,4698.4493,4705.04204
2026-05-08 06:00:00,4705.85651,4717.42617,4686.52351,4689.4371
2026-05-08 07:00:00,4688.10345,4688.45234,4685.70236,4686.72263
2026-05-08 08:00:00,4686.74719,4701.19201,4671.02499,4685.69447
2026-05-08 09:00:00,4685.90343,4704.60971,4685.37694,4703.85506
2026-05-08 10:00:00,4703.69144,4709.75511,4694.96041,4700.62027
2026-05-08 11:00:00,4700.13435,4724.66093,4699.46896,4723.88243
2026-05-08 12:00:00,4724.4007,4731.98438,4707.71137,4713.84166
2026-05-08 13:00:00,4713.8935,4730.48914,4711.36208,4720.46704
2026-05-08 14:00:00,4720.41101,4722.55018,4709.28429,4712.65794
2026-05-08 15:00:00,4714.5991,4730.30705,4710.9813,4728.40643
2026-05-08 16:00:00,4728.8666,4734.09993,4717.43554,4726.29828
2026-05-08 17:00:00,4725.91979,4727.59858,4698.45224,4708.60462
2026-05-08 18:00:00,4708.34723,4723.27597,4707.87628,4716.23601
2026-05-08 19:00:00,4716.37784,4722.03148,4707.24069,4711.43898
2026-05-08 20:00:00,4710.3801,4727.5073,4710.09373,4719.46322
2026-05-08 21:00:00,4719.33017,4727.77836,4713.01662,4718.18975
2026-05-08 22:00:00,4717.49905,4730.84747,4704.33269,4729.97096
2026-05-08 23:00:00,4730.16894,4745.95285,4717.64872,4745.47247
2026-05-09 00:00:00,4744.35667,4746.76034,4714.6799,4717.20187
2026-05-09 01:00:00,4717.73471,4722.1322,4704.29933,4706.24045
2026-05-09 02:00:00,4706.8584,4720.64335,4705.91543,4714.02576
2026-05-09 03:00:00,4713.74195,4721.93344,4712.75743,4720.60866
2026-05-09 04:00:00,4720.46648,4728.1426,4719.14665,4722.71128
2026-05-09 05:00:00,4722.66783,4726.35548,4721.65825,4724.35852
2026-05-09 06:00:00,4724.28718,4724.33505,4715.0711,4716.2703
2026-05-09 07:00:00,4716.00307,4716.00307,4714.5522,4714.83408
