date,direction,outcome_pessimistic,outcome_heuristic,outcome_optimistic,pnl_heuristic
2026-06-26,1,stop,stop,stop,-10.5
2026-06-29,1,stop,stop,stop,-10.5
2026-06-30,-1,stop,stop,stop,-10.5
2026-07-01,1,stop,stop,stop,-10.5
2026-07-02,1,stop,stop,stop,-10.5
2026-07-03,-1,eod,eod,eod,-2.75
2026-07-06,1,stop,stop,stop,-10.5
2026-07-07,1,stop,stop,stop,-10.5
2026-07-08,1,stop,stop,stop,-10.5
2026-07-09,1,stop,stop,stop,-10.5
2026-07-10,1,stop,stop,stop,-10.5
2026-07-13,-1,stop,stop,stop,-10.5
2026-07-14,-1,stop,stop,stop,-10.5
2026-07-15,-1,stop,stop,stop,-10.5
2026-07-16,-1,stop,stop,stop,-10.5
2026-07-17,-1,stop,stop,stop,-10.5
2026-07-20,-1,stop,stop,stop,-10.5
2026-07-21,1,stop,stop,stop,-10.5
2026-07-22,1,eod,eod,eod,8.25
2026-07-23,-1,stop,stop,stop,-10.5
2026-07-24,1,stop,stop,stop,-10.5
2026-07-27,-1,target,target,target,39.5
2026-07-28,-1,stop,stop,stop,-10.5
2026-07-29,-1,target,target,target,39.5
2026-07-30,1,stop,stop,stop,-10.5
2026-07-31,-1,stop,stop,stop,-10.5
2026-08-03,-1,stop,stop,stop,-10.5
2026-08-04,-1,stop,stop,stop,-10.5
2026-08-05,1,stop,stop,stop,-10.5
2026-08-06,-1,stop,stop,stop,-10.5
2026-08-07,1,stop,stop,stop,-10.5
2026-08-10,-1,stop,stop,stop,-10.5
2026-08-11,1,stop,stop,stop,-10.5
2026-08-12,-1,eod,eod,eod,21.75
2026-08-13,-1,stop,stop,stop,-10.5
2026-08-14,-1,eod,eod,eod,21.75
2026-08-17,1,stop,stop,stop,-10.5
2026-08-18,-1,eod,eod,eod,10.5
2026-08-19,-1,stop,stop,stop,-10.5
2026-08-20,-1,stop,stop,stop,-10.5
2026-08-21,-1,stop,stop,stop,-10.5
2026-08-24,-1,eod,eod,eod,11.5
2026-08-25,-1,eod,eod,eod,3.5
2026-08-26,1,eod,eod,eod,12.75
2026-08-27,1,stop,stop,stop,-10.5
2026-08-28,1,stop,stop,stop,-10.5
