date;hour;time;high;low
2026-06-10;09:30;09:30;736.25;731.5
2026-06-10;09:30;09:45;736.97998;734.74500
2026-06-10;09:30;10:00;737.59003;735.010010
2026-06-10;09:30;10:15;738.38000;735.78137
2026-06-23;09:30;09:30;735.38580;732.29999
2026-06-23;09:30;09:45;737.22998;734.53998
2026-06-23;09:30;10:00;739.030029;737
2026-06-23;09:30;10:15;739.63000;738.13000
2026-06-26;09:30;09:30;729.65997;726.85999
2026-06-26;09:30;09:45;731.31000;727.96997
2026-06-26;09:30;10:00;733.44000;730.63000
2026-06-26;09:30;10:15;734.24249;732.44000
2026-06-29;09:30;09:30;739.25;735.29999
2026-06-29;09:30;09:45;739.89502;736.40997
2026-06-29;09:30;10:00;737.070007;732.70001
2026-06-29;09:30;10:15;736.19000;732.090027
2026-07-17;09:30;09:30;742.66998;740.79999
2026-07-17;09:30;09:45;744.83002;740.95001
2026-07-17;09:30;10:00;746.79999;744.67010
2026-07-17;09:30;10:15;747.3;746.16998
2026-07-31;09:30;09:30;746.30103;742.84003
2026-07-31;09:30;09:45;743.59998;741.54999
2026-07-31;09:30;10:00;742.365;737.96997
2026-07-31;09:30;10:15;740.57001;737.67999
