time,open,high,low,close,New York VWAP,VWAP_NY - STDEV +2,VWAP_NY - STDEV +1,VWAP_NY - STDEV -1,VWAP_NY - STDEV -2,Pivot,R1,S1,R2,S2,R3,S3,Pivot Label,Volume,MA,ATR
2026-09-23T01:23:00-04:00,31021,31025.5,31018.75,31024.25,,,,,,,,,,,,,,541,,
2026-09-23T01:24:00-04:00,31024.75,31024.75,31018.25,31020.75,,,,,,,,,,,,,,414,,
2026-09-23T01:25:00-04:00,31021.25,31035.5,31020.5,31033.5,,,,,,,,,,,,,,1106,,
2026-09-23T01:26:00-04:00,31033,31037,31032.25,31032.25,,,,,,,,,,,,,,362,,
2026-09-23T01:27:00-04:00,31032.5,31035.25,31031.75,31033.25,,,,,,,,,,,,,,221,,
2026-09-23T01:28:00-04:00,31034.75,31035.5,31031,31031.5,,,,,,,,,,,,,,248,,
2026-09-23T01:29:00-04:00,31031.75,31034.25,31029.75,31034,,,,,,,,,,,,,,219,,
2026-09-23T01:30:00-04:00,31034.25,31035.25,31027.75,31034.75,,,,,,,,,,,,,,375,,
2026-09-23T01:31:00-04:00,31035,31038.75,31031.25,31032.5,,,,,,,,,,,,,,486,,
2026-09-23T01:32:00-04:00,31032.25,31035.75,31031.5,31033.25,,,,,,,,,,,,,,230,,
2026-09-23T01:33:00-04:00,31032.75,31037.25,31029.5,31030.5,,,,,,,,,,,,,,264,,
2026-09-23T01:34:00-04:00,31030,31032.25,31022,31026,,,,,,,,,,,,,,613,,
2026-09-23T01:35:00-04:00,31026.25,31029.75,31025,31028.25,,,,,,,,,,,,,,528,,
2026-09-23T01:36:00-04:00,31028.25,31032.25,31027,31030.75,,,,,,,,,,,,,,225,,
2026-09-23T01:37:00-04:00,31030.25,31035.75,31029.25,31035.5,,,,,,,,,,,,,,303,,
2026-09-23T01:38:00-04:00,31035.75,31036.75,31028,31033.75,,,,,,,,,,,,,,401,,
2026-09-23T01:39:00-04:00,31033.75,31034,31031.25,31033.5,,,,,,,,,,,,,,200,,
2026-09-23T01:40:00-04:00,31033.25,31035.25,31031.75,31035,,,,,,,,,,,,,,217,,
2026-09-23T01:41:00-04:00,31035.25,31039.5,31033.75,31036.25,,,,,,,,,,,,,,403,,
2026-09-23T01:42:00-04:00,31037,31039.5,31030,31032.25,,,,,,,,,,,,,,362,,
2026-09-23T01:43:00-04:00,31031.75,31031.75,31021,31021.5,,,,,,,,,,,,,,524,,
2026-09-23T01:44:00-04:00,31021.5,31029.25,31021,31028.25,,,,,,,,,,,,,,486,,
2026-09-23T01:45:00-04:00,31028.25,31034,31027.75,31033,,,,,,,,,,,,,,304,,
2026-09-23T01:46:00-04:00,31033,31039,31032.75,31035.25,,,,,,,,,,,,,,443,,
2026-09-23T01:47:00-04:00,31035.25,31039.5,31034.75,31039.25,,,,,,,,,,,,,,218,,
2026-09-23T01:48:00-04:00,31039.5,31042.25,31034.75,31035.25,,,,,,,,,,,,,,461,,
2026-09-23T01:49:00-04:00,31035.75,31036.75,31026.75,31028.75,,,,,,,,,,,,,,571,,
2026-09-23T01:50:00-04:00,31029.5,31032.25,31028.5,31032.25,,,,,,,,,,,,,,350,,
2026-09-23T01:51:00-04:00,31031.75,31037,31029.5,31035.25,,,,,,,,,,,,,,256,,
2026-09-23T01:52:00-04:00,31035.75,31041.5,31035.25,31040.25,,,,,,,,,,,,,,459,,
2026-09-23T01:53:00-04:00,31040.5,31044.25,31040.5,31041.5,,,,,,,,,,,,,,431,,
2026-09-23T01:54:00-04:00,31041.5,31042.5,31036.25,31039,,,,,,,,,,,,,,292,,
2026-09-23T01:55:00-04:00,31039,31041.25,31028.25,31031.5,,,,,,,,,,,,,,683,,
2026-09-23T01:56:00-04:00,31030.75,31036,31028.75,31032.75,,,,,,,,,,,,,,398,,
2026-09-23T01:57:00-04:00,31033.25,31035,31030,31030.75,,,,,,,,,,,,,,216,,
2026-09-23T01:58:00-04:00,31031,31032.75,31027.5,31030.25,,,,,,,,,,,,,,400,,
2026-09-23T01:59:00-04:00,31029.75,31031.25,31028.75,31028.75,,,,,,,,,,,,,,158,,
2026-09-23T02:00:00-04:00,31029,31039.5,31028,31035.75,,,,,,,,,,,,,,875,,
2026-09-23T02:01:00-04:00,31036,31042,31034.5,31041,,,,,,,,,,,,,,609,,
2026-09-23T02:02:00-04:00,31041,31054.75,31041,31051,,,,,,,,,,,,,,1601,,
2026-09-23T02:03:00-04:00,31051.75,31052,31047.5,31050.5,,,,,,,,,,,,,,479,,
2026-09-23T02:04:00-04:00,31051,31051.25,31041.5,31043.75,,,,,,,,,,,,,,629,,
2026-09-23T02:05:00-04:00,31043.25,31048.75,31042.25,31047.5,,,,,,,,,,,,,,438,,
2026-09-23T02:06:00-04:00,31047.75,31054.75,31046.75,31051.75,,,,,,,,,,,,,,506,,
2026-09-23T02:07:00-04:00,31051.25,31053.25,31046.5,31046.5,,,,,,,,,,,,,,443,,
2026-09-23T02:08:00-04:00,31047.25,31048.75,31039.5,31043.75,,,,,,,,,,,,,,523,,
2026-09-23T02:09:00-04:00,31043.75,31044.5,31037,31040,,,,,,,,,,,,,,338,,
2026-09-23T02:10:00-04:00,31041,31046.25,31041,31045.75,,,,,,,,,,,,,,400,,
2026-09-23T02:11:00-04:00,31045.5,31050,31044.25,31048.5,,,,,,,,,,,,,,421,,
2026-09-23T02:12:00-04:00,31049,31050,31047.5,31049.25,,,,,,,,,,,,,,263,,
2026-09-23T02:13:00-04:00,31049,31058.25,31048.75,31056.75,,,,,,,,,,,,,,987,,
2026-09-23T02:14:00-04:00,31057,31058,31054,31057.5,,,,,,,,,,,,,,439,,
2026-09-23T02:15:00-04:00,31057.5,31058.25,31051.5,31055,,,,,,,,,,,,,,624,,
2026-09-23T02:16:00-04:00,31054.75,31058.25,31054.25,31055.5,,,,,,,,,,,,,,353,,
2026-09-23T02:17:00-04:00,31055.25,31057,31054.25,31055,,,,,,,,,,,,,,134,,
2026-09-23T02:18:00-04:00,31055.25,31058,31054,31056.25,,,,,,,,,,,,,,257,,
2026-09-23T02:19:00-04:00,31056.25,31058.25,31054.25,31055.5,,,,,,,,,,,,,,332,,
2026-09-23T02:20:00-04:00,31055.25,31057.5,31052.75,31055,,,,,,,,,,,,,,260,,
2026-09-23T02:21:00-04:00,31054.25,31056,31039,31042.25,,,,,,,,,,,,,,1982,,
2026-09-23T02:22:00-04:00,31041.75,31049.5,31039.5,31048,,,,,,,,,,,,,,779,,
2026-09-23T02:23:00-04:00,31048.5,31051.75,31045.25,31047.25,,,,,,,,,,,,,,304,,
2026-09-23T02:24:00-04:00,31046.75,31050.75,31046.25,31049.75,,,,,,,,,,,,,,252,,
2026-09-23T02:25:00-04:00,31050.5,31056.5,31049.75,31054.25,,,,,,,,,,,,,,447,,
2026-09-23T02:26:00-04:00,31054.5,31059.75,31054.25,31058,,,,,,,,,,,,,,679,,
2026-09-23T02:27:00-04:00,31058.25,31062.75,31055.5,31056.75,,,,,,,,,,,,,,730,,
2026-09-23T02:28:00-04:00,31056.5,31059.75,31055.5,31057.5,,,,,,,,,,,,,,302,,
2026-09-23T02:29:00-04:00,31058,31059,31056.25,31057.5,,,,,,,,,,,,,,251,,
2026-09-23T02:30:00-04:00,31057.25,31061.75,31056,31060.5,,,,,,,,,,,,,,439,,
2026-09-23T02:31:00-04:00,31060.5,31073,31058.5,31072.75,,,,,,,,,,,,,,1352,,
