datetime;open;high;low;close
2026-08-28;771.76001;775.29999;768.31000;769.34998
2026-08-27;768.5;772.35999;767.15997;771.099976
2026-08-26;764.72998;767.34998;763.92999;766.080017
2026-08-25;766.15997;766.78003;763.049988;765.90997
2026-08-24;764.78003;765.21997;762.080017;763.46997
2026-08-21;766.049988;767.84998;764.16998;765.71997
2026-08-20;765.96002;768.15002;762.039978;762.59998
2026-08-19;770.35999;772.46997;768.099976;769.059998
2026-08-18;768.70001;769.5;766.91998;767.45001
2026-08-17;776.17999;776.78003;772.51001;772.66998
2026-08-14;778.53998;778.79999;775.42999;776.34003
2026-08-13;774.87000;779.37000;774.10999;777.88000
2026-08-12;774.71002;774.90002;771.28003;772.48999
2026-08-11;774.53003;774.60999;769.20001;770.56000
2026-08-10;772.59998;775.049988;771.62000;773.030029
2026-08-07;771.020020;773.91998;769.60999;773.26001
2026-08-06;770.21002;771.82001;767.46002;768.56000
2026-08-05;775.84998;776.84998;769.51001;769.78998
2026-08-04;760.63000;773.40997;760.52002;771.33002
2026-08-03;749.44000;758.58002;748.79999;757.66998
2026-07-31;744.67999;748.90002;737.67999;747.030029
2026-07-30;736.049988;742.45001;734.59003;741.69000
2026-07-29;739.96997;742.67999;729.099976;729.46002
2026-07-28;739.19000;742.78998;735.97998;740.85999
2026-07-27;744.90997;745.53003;735.87000;739.090027
2026-07-24;738.51001;743.71997;737.28998;738.92999
2026-07-23;739.37000;742.56000;735.21002;738.17999
2026-07-22;746.62000;750.020020;746.37000;747.40997
2026-07-21;746.28998;749.039978;744.17999;748.28003
2026-07-20;747.059998;748.72998;741.51001;742.090027
2026-07-17;742.080017;747.28998;740.79999;743.28998
2026-07-16;752.76001;754.57001;747.88000;750.71997
2026-07-15;754.23999;755.58002;750.20001;754.81000
2026-07-14;750.90997;753.34003;748.65997;751.83002
2026-07-13;752.46997;753.90997;748;749.16998
2026-07-10;752.049988;755.41998;748.099976;754.95001
2026-07-09;747.34998;751.96997;745.59003;751.71002
2026-07-08;743.15997;746.15002;739.51001;745.40002
2026-07-07;750.21997;750.96002;745.21002;747.71002
2026-07-06;748.73999;752.40997;747.40997;751.28003
2026-07-02;747.40002;751.31000;740.030029;744.78003
2026-07-01;745;749.44000;742.38000;745.76001
2026-06-30;741.28998;748.020020;740.89001;746.77002
2026-06-29;736.53003;741.56000;732.090027;741
2026-06-26;728.95001;736.53003;716.58002;728.98999
2026-06-25;738.90997;739.37000;729.59998;734.29999
2026-06-24;735.16998;739.95001;730.84003;733.23999
2026-06-23;733.81000;739.63000;732.29999;733.58002
2026-06-22;747.70001;750.17999;743.13000;744.39001
2026-06-18;747.76001;748.22998;743.85999;746.73999
2026-06-17;751.28998;752.15002;739.21997;740.96002
2026-06-16;754.54999;755.44000;749.88000;750.33002
2026-06-15;751.84998;756.67999;751.76001;754.83002
2026-06-12;740.71002;744.44000;735.030029;741.75
2026-06-11;728.76001;740;724.40997;737.76001
2026-06-10;733.39001;738.38000;725.33002;725.42999
2026-06-09;743.63000;746.90002;722.59003;737.049988
2026-06-08;743.35999;745.34003;738.19000;739.21997
2026-06-05;752.31000;752.82001;735.53003;737.54999
2026-06-04;752.099976;758.31000;751.46997;757.090027
2026-06-03;758.15002;758.79999;753.57001;754.23999
2026-06-02;757.030029;760.40002;756.75;759.57001
2026-06-01;755.35999;760.28003;754.69000;758.53998
2026-05-29;755.90002;758.080017;754.69000;756.47998
2026-05-28;750.25;755.15002;749.22998;754.59998
2026-05-27;750.88000;751.38000;748.21997;750.46002
2026-05-26;750.010010;752.13000;748.37000;750.59003
2026-05-22;746.23999;748.94000;744.47998;745.64001
2026-05-21;738.64001;744.87000;737.030029;742.71997
2026-05-20;735.71002;741.87000;733.89001;741.25
2026-05-19;734.78003;737.65002;731.53003;733.72998
2026-05-18;739.83002;741.41998;733.39001;738.65002
2026-05-15;741.78998;743.46002;737.96002;739.16998
2026-05-14;743.65002;749.53003;743.56000;748.16998
2026-05-13;738.46997;743.90997;735.46997;742.31000
2026-05-12;736.89001;738.84003;731.83002;738.17999
2026-05-11;736.45001;740.78998;736.45001;739.29999
2026-05-08;734.92999;738.080017;734.57001;737.62000
2026-05-07;735.049988;736.13000;729.75;731.58002
2026-05-06;728.15997;734.59003;727.82001;733.83002
2026-05-05;721.77002;725.039978;721.48999;723.77002
2026-05-04;720.070007;722.12000;714.98999;718.010010
2026-05-01;721.25;724.87000;720.46997;720.65002
2026-04-30;714.63000;719.78998;710.45001;718.65997
2026-04-29;711;712.20001;708.37000;711.58002
2026-04-28;711.82001;712.88000;709.25;711.69000
2026-04-27;713.16998;715.63000;712.29999;715.16998
2026-04-24;710.75;714.46997;709.010010;713.94000
2026-04-23;709.5;712.35999;702.28003;708.45001
2026-04-22;709.15002;711.45001;708.21997;711.21002
2026-04-21;710.28003;711.28003;702.64001;704.080017
2026-04-20;708.78003;709.90997;706.14001;708.71997
2026-04-17;706.14001;712.39001;705.76001;710.14001
2026-04-16;701.059998;702.78003;698.53003;701.65997
2026-04-15;695.26001;700.28003;694.20001;699.94000
2026-04-14;687.69000;694.58002;687.65997;694.46002
2026-04-13;677.40997;686.29999;676.58002;686.099976
2026-04-10;681.32001;682.030029;678.45001;679.46002
2026-04-09;674.84003;681.15997;673.77002;679.90997
2026-04-08;676.39001;677.080017;671.46002;676.010010
2026-04-07;656.65002;659.60999;651.059998;659.21997
2026-04-06;655.85999;659.71997;655.52002;658.92999
2026-04-02;646.41998;658.20001;645.10999;655.83002
2026-04-01;653.90002;658.52002;653;655.23999
2026-03-31;638.94000;651.53998;637.97998;650.34003
2026-03-30;640.10999;640.37000;629.28003;631.96997
2026-03-27;642.5;642.65997;633.10999;634.090027
2026-03-26;652.059998;654.84998;644.82001;645.090027
2026-03-25;658.66998;660.89001;654.23999;656.82001
