time,open,high,low,close,New York VWAP,VWAP_NY - STDEV +2,VWAP_NY - STDEV +1,VWAP_NY - STDEV -1,VWAP_NY - STDEV -2,Pivot,R1,S1,R2,S2,R3,S3,Pivot Label,Volume,MA,ATR
2026-08-23T18:00:00-04:00,29392.25,29409,29378.75,29379.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,,2475,,30.25
2026-08-23T18:01:00-04:00,29379.25,29379.5,29302.25,29327.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,5891,,77.5
2026-08-23T18:02:00-04:00,29326.75,29342.5,29318,29334,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,2364,,24.5
2026-08-23T18:03:00-04:00,29334.25,29345,29315.25,29316,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,1943,,29.75
2026-08-23T18:04:00-04:00,29316.75,29328.5,29303,29323,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,1643,,25.5
2026-08-23T18:05:00-04:00,29323.5,29335.75,29316.75,29322,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,1780,,19
2026-08-23T18:06:00-04:00,29322.5,29322.5,29310.5,29319.5,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,1102,,12
2026-08-23T18:07:00-04:00,29319.25,29328.5,29318.25,29322,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,613,,10.25
2026-08-23T18:08:00-04:00,29322.75,29329.25,29321,29327.25,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,501,26.333333333333332,8.25
2026-08-23T18:09:00-04:00,29327.5,29332.25,29317,29321,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,1048,24.666666666666668,15.25
2026-08-23T18:10:00-04:00,29321.75,29323.25,29316.5,29321.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,516,16.805555555555557,6.75
2026-08-23T18:11:00-04:00,29321.5,29324.25,29318.5,29321.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,362,14.722222222222221,5.75
2026-08-23T18:12:00-04:00,29322,29328.5,29321.75,29325.25,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,576,12.166666666666666,6.75
2026-08-23T18:13:00-04:00,29325.75,29330.5,29323.75,29329.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,304,10.083333333333334,6.75
2026-08-23T18:14:00-04:00,29329.75,29334.5,29327,29330.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,552,8.805555555555555,7.5
2026-08-23T18:15:00-04:00,29331.5,29331.5,29324.25,29328.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,547,8.277777777777779,7.25
2026-08-23T18:16:00-04:00,29329.25,29334.75,29328,29332.25,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,561,7.888888888888889,6.75
2026-08-23T18:17:00-04:00,29332.25,29332.75,29314.75,29316.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,1047,8.972222222222221,18
2026-08-23T18:18:00-04:00,29317,29321.25,29313.5,29318.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,695,8.13888888888889,7.75
2026-08-23T18:19:00-04:00,29319.5,29324.25,29315.75,29323.25,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,496,8.333333333333334,8.5
2026-08-23T18:20:00-04:00,29323.25,29335.5,29322.25,29334.25,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,699,9.166666666666666,13.25
2026-08-23T18:21:00-04:00,29334.25,29338,29330.25,29336.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,771,9.277777777777779,7.75
2026-08-23T18:22:00-04:00,29337.5,29341.5,29326.25,29327.75,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,1228,10.222222222222221,15.25
2026-08-23T18:23:00-04:00,29328.25,29339.25,29328,29338.25,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,766,10.666666666666666,11.5
2026-08-23T18:24:00-04:00,29338.25,29339,29334.75,29337,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,299,10.333333333333334,4.25
2026-08-23T18:25:00-04:00,29338,29341.25,29336.25,29338.5,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,382,10.13888888888889,5
2026-08-23T18:26:00-04:00,29339.25,29339.75,29334.5,29338,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,419,8.722222222222221,5.25
2026-08-23T18:27:00-04:00,29338.25,29343,29336.5,29340,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,508,8.583333333333334,6.5
2026-08-23T18:28:00-04:00,29340.25,29342.75,29337.25,29339.5,,,,,,29378.5,29389.96,29367.04,29397.04,29359.96,29408.5,29348.5,29378.5,397,8.25,5.5
