time,open,high,low,close
2024-12-16 15:30:00,250.70000,251.10001,249.95000,251.039993
2024-12-17 09:30:00,250.13499,252.98000,249.78999,252.27000
2024-12-17 10:30:00,252.25500,253.35001,251.77000,252.55000
2024-12-17 11:30:00,252.53000,253.30000,252.48000,253.22501
2024-12-17 12:30:00,253.25,253.28999,252.69009,253.13000
2024-12-17 13:30:00,253.14000,253.63499,252.92999,253.20000
2024-12-17 14:30:00,253.20000,253.39000,252.75,252.88000
2024-12-17 15:30:00,252.88000,253.81000,252.64999,253.48000
2024-12-18 09:30:00,252.22000,253.39999,251.33000,253.070007
2024-12-18 10:30:00,253.070007,253.79990,252.85001,253.32001
2024-12-18 11:30:00,253.32359,254.039993,253.17500,253.63499
2024-12-18 12:30:00,253.63000,254.0099945,253.47000,253.71010
2024-12-18 13:30:00,253.70000,254.28000,251.53999,252.45000
2024-12-18 14:30:00,252.44901,252.98000,249.5,249.89999
2024-12-18 15:30:00,249.92000,250.39920,247.75,247.86000
2024-12-19 09:30:00,247.46001,251.020004,247.095001,249.89000
2024-12-19 10:30:00,249.89000,251.38760,249.37000,251.039993
2024-12-19 11:30:00,251.039993,251.85001,250.53500,250.58000
2024-12-19 12:30:00,250.59000,250.94000,249.72000,250.83000
2024-12-19 13:30:00,250.81500,251.45000,250.29021,250.52000
2024-12-19 14:30:00,250.50999,250.52000,249.53000,250.32500
2024-12-19 15:30:00,250.33000,250.55000,249.40930,249.85001
2024-12-20 09:30:00,248.12000,249.62410,246.30000,249.59500
2024-12-20 10:30:00,249.59000,252,249.39999,251.99001
2024-12-20 11:30:00,251.98000,253.92999,251.89000,253.73500
2024-12-20 12:30:00,253.73500,253.77000,252.77200,252.87000
2024-12-20 13:30:00,252.91000,253.64999,252.67999,253.62030
2024-12-20 14:30:00,253.63000,254.19000,253.30000,253.49001
2024-12-20 15:30:00,253.5,255,252.78999,254.59000
2024-12-23 09:30:00,254.77000,255.64500,253.45000,254.070007
2024-12-23 10:30:00,254.050003,255.070007,253.46001,254.83000
2024-12-23 11:30:00,254.83910,255.23000,254.37000,254.42999
2024-12-23 12:30:00,254.42999,254.75500,253.72000,253.92000
2024-12-23 13:30:00,253.92000,254.46001,253.87000,254.29500
2024-12-23 14:30:00,254.30000,254.39999,253.67999,254.34000
2024-12-23 15:30:00,254.34000,255.64999,254.34000,255.31000
2024-12-24 09:30:00,255.37000,257.42999,255.36000,257.10501
2024-12-24 10:30:00,257.13000,257.98999,257.13000,257.31000
2024-12-24 11:30:00,257.28000,257.53500,256.89001,257.38000
2024-12-24 12:30:00,257.37759,258.20001,257.061401,258.20001
2024-12-24 15:30:00,258.20001,258.20001,258.20001,258.20001
2024-12-26 09:30:00,258.35501,260.089996,257.63000,258.36121
2024-12-26 10:30:00,258.36499,259.19000,258.13000,258.88000
2024-12-26 11:30:00,258.89001,259.34000,258.82001,258.98499
2024-12-26 12:30:00,258.98801,259.32501,258.57001,258.81891
2024-12-26 13:30:00,258.81000,258.94891,258.41000,258.60001
2024-12-26 14:30:00,258.60999,259.47000,258.59000,259.10999
2024-12-26 15:30:00,259.12000,259.51001,259.010010,259.10001
2024-12-27 09:30:00,257.89999,258.70001,254.91000,254.99001
2024-12-27 10:30:00,254.96001,255.39999,254.039993,254.73000
2024-12-27 11:30:00,254.74001,254.80000,253.059998,253.67999
2024-12-27 12:30:00,253.67000,254.97990,253.64780,254.95000
2024-12-27 13:30:00,254.94000,255.50999,254.86000,255.014999
2024-12-27 14:30:00,255.029999,255.55991,254.96001,255.17000
2024-12-27 15:30:00,255.17000,255.82001,254.97000,255.72000
2024-12-30 09:30:00,252.23000,253,250.75,250.92000
2024-12-30 10:30:00,250.91600,252.28500,250.91600,251.89999
2024-12-30 11:30:00,251.89000,253.10001,251.81000,253.050003
2024-12-30 12:30:00,253.059998,253.47000,252.5,252.82001
2024-12-30 13:30:00,252.80499,253.28999,252.59000,252.93640
2024-12-30 14:30:00,252.92999,253.49989,252.69000,252.72000
2024-12-30 15:30:00,252.73000,253.039993,252.039993,252.12000
2024-12-31 09:30:00,252.66000,253.28000,251.32001,251.68770
2024-12-31 10:30:00,251.69000,252.13989,251.024994,251.17999
2024-12-31 11:30:00,251.17999,251.55000,250.64999,250.71629
2024-12-31 12:30:00,250.70000,250.75999,249.44000,249.69000
2024-12-31 13:30:00,249.69000,250.26801,249.53000,249.77000
2024-12-31 14:30:00,249.76500,250.88000,249.69000,250.77010
2024-12-31 15:30:00,250.77000,251.080002,249.5,250.38000
2025-01-02 09:30:00,248.92999,249.10001,244.80000,245.73990
2025-01-02 10:30:00,245.63000,245.88000,244.16010,244.89500
2025-01-02 11:30:00,244.90990,245.25,243.32001,243.42860
2025-01-02 12:30:00,243.41000,243.41000,242.31000,242.68620
2025-01-02 13:30:00,242.67000,242.84000,241.82010,242.48840
2025-01-02 14:30:00,242.48000,243.44000,241.87131,243.23109
2025-01-02 15:30:00,243.25,243.95000,243.010193,243.82001
2025-01-03 09:30:00,243.37000,244.17999,241.89000,242.45979
2025-01-03 10:30:00,242.45000,243.67560,242.14000,243.49001
